datetime,pm25,pm10,no2,so2,co,o3,temperature,humidity,pressure,wind_speed
2025-12-18 20:32:54.007239,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:32:55.778325,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:32:57.717590,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:32:59.456744,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:33:01.254027,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:33:03.240398,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:33:06.206005,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
2025-12-18 20:33:07.892477,66,43,8.9,2.5,9.9,7,24.8,74.24,731.09,0.46
